id_product;reference;name;price;quantity;id_category_default
506;CE1107;"Colgante Enchapado en Oro";5882.352941;0;2
534;CE1109;"Colgante Enchapado en Plata Árbol";5462.180000;0;25
1554;ACC1100;"Medidor de Dedos";5042.016807;20;17
1555;ACC1101;"Paño Magico";1344.537815;95;17
3248;CA1221;"Cadena de Plata 925 Tourbillon con Esferas 45 cm";6386.554622;23;23
3848;CA1259;"Cadena de Plata 925 Corazones 45 cm";5294.117647;17;23
3849;CA1260;"Cadena de Corazones de plata 925 de 40cm";4453.781513;22;23
4233;CA1279;"Cadena Tourbillon 1.5 mm 60 cm";8571.428571;0;23
5259;CA1315;"Cadena de Corazones 50 cm de plata 925";6134.453782;87;23
5678;CLL1259;"Punto de Luz Swarovski Gota de Plata 925";8823.530000;0;2
5765;CA1327;"Cadena de Plata 925 Tourbillon 1 mm 45 cm";5462.184874;0;23
5889;PP1664;"Pulsera Plata 925 Groumet con Piocha";15630.250000;0;47
5927;CA1329;"Cadena de plata 925 de Corazones 50 cm";4285.710000;0;3
6044;COL1356;"Colgante de Plata 925 Niña bebe";4369.750000;0;81
6194;COL1366;"Colgante Plata 925 Placa con Aplicación de Oro";6722.690000;0;82
6272;COL1368;"Colgante de Plata 925 con Oro (Elegir Letras)";4537.815126;103;22
6272;COL1368;"Colgante de Plata 925 con Oro (Elegir Letras)";4537.815126;0;22
6272;COL1368;"Colgante de Plata 925 con Oro (Elegir Letras)";4537.815126;6;22
6272;COL1368;"Colgante de Plata 925 con Oro (Elegir Letras)";4537.815126;5;22
6272;COL1368;"Colgante de Plata 925 con Oro (Elegir Letras)";4537.815126;9;22
6272;COL1368;"Colgante de Plata 925 con Oro (Elegir Letras)";4537.815126;0;22
6272;COL1368;"Colgante de Plata 925 con Oro (Elegir Letras)";4537.815126;3;22
6272;COL1368;"Colgante de Plata 925 con Oro (Elegir Letras)";4537.815126;9;22
6272;COL1368;"Colgante de Plata 925 con Oro (Elegir Letras)";4537.815126;9;22
6272;COL1368;"Colgante de Plata 925 con Oro (Elegir Letras)";4537.815126;7;22
6272;COL1368;"Colgante de Plata 925 con Oro (Elegir Letras)";4537.815126;10;22
6272;COL1368;"Colgante de Plata 925 con Oro (Elegir Letras)";4537.815126;5;22
6272;COL1368;"Colgante de Plata 925 con Oro (Elegir Letras)";4537.815126;3;22
6272;COL1368;"Colgante de Plata 925 con Oro (Elegir Letras)";4537.815126;0;22
6272;COL1368;"Colgante de Plata 925 con Oro (Elegir Letras)";4537.815126;9;22
6272;COL1368;"Colgante de Plata 925 con Oro (Elegir Letras)";4537.815126;0;22
